nTasks=10;
nThreads=34;
nCPUs=5;
nCores=17;
rh=[566.6104985693357 797.8292255124896 626.5330753599131 743.8182625308805 532.5805910628839 798.1405769342725 658.8073159491533 635.1810346660592 685.9743009004492 626.485253745815 610.4178365961993 654.942329966156 608.7800547359801 724.7287096701355 712.7536561568744 792.3004886821501 522.6890065251296 604.3967295899458 660.7601096495221 710.7756052522672 626.5263211139579 759.8009493374543 588.1017210538325 745.0129841872334 560.4705632141948 686.8099492784213 756.6594449142152 791.8817555403862 787.5445792627629 506.5020719054476 745.2390435163734 516.5903075488056 763.1393240910689 798.5800812659802];
rc=[5000.0 5000.0 5000.0 5000.0 5000.0];
CK=[
	[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
];
TH=[
	[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
];
